iso_code,location,date,total_cases,new_cases,tomorrow_deaths,total_cases_per_million,new_cases_per_million
USA,United States,12/31/2019,0,0,0,0,0
USA,United States,1/1/2020,0,0,0,0,0
USA,United States,1/2/2020,0,0,0,0,0
USA,United States,1/3/2020,0,0,0,0,0
USA,United States,1/4/2020,0,0,0,0,0
USA,United States,1/5/2020,0,0,0,0,0
USA,United States,1/6/2020,0,0,0,0,0
USA,United States,1/7/2020,0,0,0,0,0
USA,United States,1/8/2020,0,0,0,0,0
USA,United States,1/9/2020,0,0,0,0,0
USA,United States,1/10/2020,0,0,0,0,0
USA,United States,1/11/2020,0,0,0,0,0
USA,United States,1/12/2020,0,0,0,0,0
USA,United States,1/13/2020,0,0,0,0,0
USA,United States,1/14/2020,0,0,0,0,0
USA,United States,1/15/2020,0,0,0,0,0
USA,United States,1/16/2020,0,0,0,0,0
USA,United States,1/17/2020,0,0,0,0,0
USA,United States,1/18/2020,0,0,0,0,0
USA,United States,1/19/2020,0,0,0,0,0
USA,United States,1/20/2020,0,0,0,0,0
USA,United States,1/21/2020,1,1,0,0.003,0.003
USA,United States,1/22/2020,1,0,0,0.003,0
USA,United States,1/23/2020,1,0,0,0.003,0
USA,United States,1/24/2020,1,0,0,0.003,0
USA,United States,1/25/2020,2,1,0,0.006,0.003
USA,United States,1/26/2020,2,0,0,0.006,0
USA,United States,1/27/2020,5,3,0,0.015,0.009
USA,United States,1/28/2020,5,0,0,0.015,0
USA,United States,1/29/2020,5,0,0,0.015,0
USA,United States,1/30/2020,5,0,0,0.015,0
USA,United States,1/31/2020,6,1,0,0.018,0.003
USA,United States,2/1/2020,7,1,0,0.021,0.003
USA,United States,2/2/2020,8,1,0,0.024,0.003
USA,United States,2/3/2020,11,3,0,0.033,0.009
USA,United States,2/4/2020,11,0,0,0.033,0
USA,United States,2/5/2020,11,0,0,0.033,0
USA,United States,2/6/2020,12,1,0,0.036,0.003
USA,United States,2/7/2020,12,0,0,0.036,0
USA,United States,2/8/2020,12,0,0,0.036,0
USA,United States,2/9/2020,12,0,0,0.036,0
USA,United States,2/10/2020,12,0,0,0.036,0
USA,United States,2/11/2020,13,1,0,0.039,0.003
USA,United States,2/12/2020,13,0,0,0.039,0
USA,United States,2/13/2020,14,1,0,0.042,0.003
USA,United States,2/14/2020,15,1,0,0.045,0.003
USA,United States,2/15/2020,15,0,0,0.045,0
USA,United States,2/16/2020,15,0,0,0.045,0
USA,United States,2/17/2020,15,0,0,0.045,0
USA,United States,2/18/2020,15,0,0,0.045,0
USA,United States,2/19/2020,15,0,0,0.045,0
USA,United States,2/20/2020,15,0,0,0.045,0
USA,United States,2/21/2020,16,1,0,0.048,0.003
USA,United States,2/22/2020,35,19,0,0.106,0.057
USA,United States,2/23/2020,35,0,0,0.106,0
USA,United States,2/24/2020,35,0,0,0.106,0
USA,United States,2/25/2020,53,18,0,0.16,0.054
USA,United States,2/26/2020,53,0,0,0.16,0
USA,United States,2/27/2020,59,6,0,0.178,0.018
USA,United States,2/28/2020,60,1,0,0.181,0.003
USA,United States,2/29/2020,66,6,1,0.199,0.018
USA,United States,3/1/2020,69,3,2,0.208,0.009
USA,United States,3/2/2020,89,20,6,0.269,0.06
USA,United States,3/3/2020,103,14,9,0.311,0.042
USA,United States,3/4/2020,125,22,11,0.378,0.066
USA,United States,3/5/2020,159,34,12,0.48,0.103
USA,United States,3/6/2020,233,74,14,0.704,0.224
USA,United States,3/7/2020,338,105,17,1.021,0.317
USA,United States,3/8/2020,433,95,21,1.308,0.287
USA,United States,3/9/2020,554,121,26,1.674,0.366
USA,United States,3/10/2020,754,200,28,2.278,0.604
USA,United States,3/11/2020,1025,271,30,3.097,0.819
USA,United States,3/12/2020,1312,287,40,3.964,0.867
USA,United States,3/13/2020,1663,351,47,5.024,1.06
USA,United States,3/14/2020,2174,511,57,6.568,1.544
USA,United States,3/15/2020,2951,777,69,8.915,2.347
USA,United States,3/16/2020,3774,823,85,11.402,2.486
USA,United States,3/17/2020,4661,887,108,14.081,2.68
USA,United States,3/18/2020,6427,1766,150,19.417,5.335
USA,United States,3/19/2020,9415,2988,150,28.444,9.027
USA,United States,3/20/2020,14250,4835,260,43.051,14.607
USA,United States,3/21/2020,19624,5374,340,59.287,16.236
USA,United States,3/22/2020,26747,7123,471,80.806,21.519
USA,United States,3/23/2020,35206,8459,590,106.362,25.556
USA,United States,3/24/2020,46442,11236,801,140.307,33.945
USA,United States,3/25/2020,55231,8789,1050,166.86,26.553
USA,United States,3/26/2020,69194,13963,1296,209.044,42.184
USA,United States,3/27/2020,85991,16797,1707,259.789,50.746
USA,United States,3/28/2020,104686,18695,2191,316.269,56.48
USA,United States,3/29/2020,124665,19979,2509,376.628,60.359
USA,United States,3/30/2020,143025,18360,3170,432.096,55.468
USA,United States,3/31/2020,164620,21595,4079,497.337,65.241
USA,United States,4/1/2020,189618,24998,5138,572.859,75.522
USA,United States,4/2/2020,216721,27103,6053,654.741,81.882
USA,United States,4/3/2020,245540,28819,7157,741.807,87.066
USA,United States,4/4/2020,277965,32425,8501,839.767,97.96
USA,United States,4/5/2020,312237,34272,9647,943.307,103.54
USA,United States,4/6/2020,337635,25398,10989,1020.037,76.731
USA,United States,4/7/2020,368196,30561,12895,1112.366,92.329
USA,United States,4/8/2020,398809,30613,14817,1204.851,92.486
USA,United States,4/9/2020,432132,33323,16690,1305.524,100.673
USA,United States,4/10/2020,466033,33901,18777,1407.943,102.419
USA,United States,4/11/2020,501560,35527,20608,1515.275,107.331
USA,United States,4/12/2020,529951,28391,22108,1601.048,85.773
USA,United States,4/13/2020,557571,27620,23649,1684.491,83.443
USA,United States,4/14/2020,582594,25023,26057,1760.089,75.598
USA,United States,4/15/2020,609516,26922,30985,1841.423,81.335
USA,United States,4/16/2020,639664,30148,33284,1932.504,91.081
USA,United States,4/17/2020,671331,31667,37054,2028.174,95.67
USA,United States,4/18/2020,702164,30833,38910,2121.324,93.15
USA,United States,4/19/2020,735086,32922,40682,2220.786,99.461
USA,United States,4/20/2020,759687,24601,42539,2295.109,74.323
USA,United States,4/21/2020,787752,28065,45063,2379.896,84.788
USA,United States,4/22/2020,825041,37289,46784,2492.551,112.655
USA,United States,4/23/2020,842629,17588,49963,2545.687,53.136
USA,United States,4/24/2020,869172,26543,51017,2625.876,80.19
USA,United States,4/25/2020,890524,21352,53189,2690.383,64.507
USA,United States,4/26/2020,939053,48529,54876,2836.995,146.612
USA,United States,4/27/2020,965910,26857,56245,2918.134,81.138
USA,United States,4/28/2020,988451,22541,58355,2986.233,68.099
USA,United States,4/29/2020,1012583,24132,60966,3059.139,72.906
USA,United States,4/30/2020,1039909,27326,63006,3141.694,82.555
USA,United States,5/1/2020,1069826,29917,65068,3232.077,90.383
USA,United States,5/2/2020,1103781,33955,66385,3334.659,102.582
USA,United States,5/3/2020,1133069,29288,67682,3423.142,88.483
USA,United States,5/4/2020,1158041,24972,68934,3498.585,75.444
USA,United States,5/5/2020,1180634,22593,71078,3566.842,68.256
USA,United States,5/6/2020,1204475,23841,73431,3638.868,72.027
USA,United States,5/7/2020,1228603,24128,75670,3711.762,72.894
USA,United States,5/8/2020,1256972,28369,77180,3797.468,85.706
USA,United States,5/9/2020,1283929,26957,78794,3878.909,81.44
USA,United States,5/10/2020,1309541,25612,79528,3956.286,77.377
USA,United States,5/11/2020,1329799,20258,80684,4017.488,61.202
USA,United States,5/12/2020,1347916,18117,82387,4072.221,54.734
USA,United States,5/13/2020,1369964,22048,84133,4138.831,66.61
USA,United States,5/14/2020,1390746,20782,85906,4201.616,62.785
USA,United States,5/15/2020,1417889,27143,87568,4283.618,82.002
USA,United States,5/16/2020,1443397,25508,88754,4360.681,77.063
USA,United States,5/17/2020,1467884,24487,89562,4434.659,73.978
USA,United States,5/18/2020,1486757,18873,90353,4491.677,57.018
USA,United States,5/19/2020,1508598,21841,91921,4557.661,65.984
USA,United States,5/20/2020,1528568,19970,93439,4617.993,60.332
USA,United States,5/21/2020,1551853,23285,94702,4688.34,70.347
USA,United States,5/22/2020,1577287,25434,96007,4765.179,76.839
USA,United States,5/23/2020,1601434,24147,97087,4838.13,72.951
USA,United States,5/24/2020,1622670,21236,97720,4902.287,64.157
USA,United States,5/25/2020,1643238,20568,98220,4964.426,62.138
USA,United States,5/26/2020,1662302,19064,98916,5022.02,57.595
USA,United States,5/27/2020,1681212,18910,100442,5079.15,57.129
USA,United States,5/28/2020,1699933,18721,101617,5135.708,56.558
USA,United States,5/29/2020,1721750,21817,102836,5201.62,65.912
USA,United States,5/30/2020,1747087,25337,103781,5278.166,76.546
USA,United States,5/31/2020,1770384,23297,104383,5348.549,70.383
ESP,Spain,12/31/2019,0,0,0,0,0
ESP,Spain,1/1/2020,0,0,0,0,0
ESP,Spain,1/2/2020,0,0,0,0,0
ESP,Spain,1/3/2020,0,0,0,0,0
ESP,Spain,1/4/2020,0,0,0,0,0
ESP,Spain,1/5/2020,0,0,0,0,0
ESP,Spain,1/6/2020,0,0,0,0,0
ESP,Spain,1/7/2020,0,0,0,0,0
ESP,Spain,1/8/2020,0,0,0,0,0
